job_title,mod_ind_index
Nhân Viên Livestream/Tiktok/Kol/Koc,25
Nhân Viên Hồ Sơ ( Tiếng Nhật N3),25
Assistant Restaurant Manager,25
Nhân Viên Thu Ngân (Hà Nội),25
Nhân Viên HR Specialist,25
Nhân Viên Thợ Hàn,25
Nhân Viên Thu Mua,25
Chuyên Viên Mua Hàng ( Purchasing Executive),25
Chuyên Viên Thư Viện - Trường Đại Học Yersin Đà Lạt,25
CEO'S Assistant,25
Nhân Viên Sale Admin ( Tiếng Hàn Hoặc Tiếng Anh ),25
Chuyên Viên C&B,25
Nhân Viên Lễ Tân - Booking Tiếng Hàn,25
Admin Cum Receptionist,25
Nhân Viên Theo Dõi Đơn Hàng - Biết Tiếng Anh Hoặc Tiếng Hoa,25
Nhân Viên Lễ Tân (Lương Từ 7 - 11 Triệu/Tháng),25
Nhân Viên Kỹ Thuật,25
Nhân Viên Sale Admin,25
Training Assistant,25
Kỹ Thuật Đội Xe - Đi Làm Ngay,25
Chuyên Viên Hỗ Trợ Xử Lý Nợ - Legal Support - Ta082,25
Kỹ Sư Phân Tích Hệ Thống (Ba),25
Chuyên Viên Sổ Đỏ,25
Lễ Tân ( Receptionist ) - Nữ,25
Operations Assistant Manager,25
Giao Dịch Viên Tại Quầy,25
Designer,25
Nhân Viên Tuyển Dụng,25
Thực Tập Sinh Quản Trị Doanh Nghiệp Full Time,25
Kỹ Thuật Viên Sơn Toyota,25
Kỹ Thuật Viên Ứng Phó Lương Cứng 8-10 Triệu,25
Financial Analysist,25
Giao Dịch Viên Tại Quầy Hiệp Hoà - Fpt Telecom Bắc Giang,25
Trưởng Bưu Cục,25
Nhân Viên Tuyển Dụng (Không Yêu Cầu Kinh Nghiệm),25
Nhân Viên Thu Mua,25
Nhân Viên Mua Hàng 2N Lương: 8-18 Triệu,25
Nhân Viên Giao Hàng,25
Nhân Viên Hành Chính Tổng Hợp,25
Nhân Viên Hỗ Trợ Triển Khai - Làm Việc Tại Tp. HCM,25
Nhân Viên Mua Hàng (Nam),25
Nhân Viên Lễ Tân,25
Nhân Viên Phát Triển Kênh Youtube,25
Nhân Viên Admin Điều Phối,25
Manual Tester,25
Nhân Viên Mua Hàng Tổng Hợp - Quận 7,25
Giám Đốc Chi Nhánh Khánh Hòa,25
Thực Tập Sinh Java,25
Giám Đốc Chi Nhánh Huế,25
Auto Tester -Tân Bình,25
Scrum Master (15-30M),25
Nhân Viên Chứng Từ Tại Hải Phòng,25
Điều Phối Bưu Cục - Thu Nhập 8 - 12 Triệu/ Tháng Tỉnh Bắc Giang,25
Automation Tester,25
"Tech Lead (Nodejs/Python/PHP/ Java / Golang, 45 - 65M)",25
Điều Phối Bưu Cục - Thu Nhập 8 - 12 Triệu/ Tháng - Tỉnh Bắc Ninh,25
Nhân Viên Chứng Từ Xuất Khẩu Tại Hà Nội,25
Chuyên Viên Kiểm Soát Chất Lượng (HN),25
Nhân Viên Vận Hành (Operator),25
Giám Đốc Chi Nhánh Netco Huế,25
Nhân Viên Quản Trị Và Điều Phối,25
Kỹ Sư Cầu Nối (Brse),25
Công Tác Viên Maketing,25
Tài Xế Fc Đường Dài Và Đường Cảng,25
Cố Vấn Dịch Vụ - Có Kinh Nghiệm Tại Biên Hòa - Đồng Nai,25
Chuyên Viên Quản Trị Vận Hành Hệ Thống Máy Chủ,25
Nhân Viên Kiểm Thử ( Tester ),25
Trưởng Nhóm Giao Dịch Viên - Khu Vực Hồ Chí Minh,25
Giám Đốc Chi Nhánh - Khánh Hòa,25
Senior Data Analyst,25
UI- UX Designer,25
System Administrator,25
Nhân Viên Mua Hàng,25
Nhân Viên Vận Hành Thuê Xe,25
UI/UX Designer,25
Nhân Viên Kiểm Soát Nội Bộ,25
Nhân Viên Pricing - Stl,25
"Senior Backend Dev (30-45M, PHP/ Java /Nodejs/Golang...)",25
Nhân Viên Ops Truyền Tờ Khai Hải Quan,25
Thực Tập Sinh,25
Nhân Viên Thanh Toán,25
IOS Devloper - Quận 7,25
Front End Staff (Html/Css + Wordpress),25
UI/ UX App Designer,25
System Administrator,25
Chuyên Viên Phát Triển Sản Phẩm,25
Nhân Viên Thủ Tục Hải Quan,25
