id,name,mapped_id
1,Nhân viên,6
2,Thực tập sinh,9
3,Trưởng nhóm,4
4,Trưởng/Phó phòng,3
5,Quản lý / Giám sát,4
6,Giám đốc,2
7,Trưởng chi nhánh,2
8,Phó giám đốc,2
